,city,cluster 1 probability,hpa_3yr_pred,mhv,md_retax,hpa_3yr_pred_scaled,mhv_scaled,md_retax_scaled,state,region,own_pct,grrent_yield,rent,percap_inc,monthly income to rent,inc. to rent scaled,home ownership scaled,num. neighborhoods,pop_est_5mile,pop_est_25mile,pop_ch_5mile,pop_ch_25mile,density_total,pop_est_5mile_scaled,pop_est_25mile_scaled,pop_ch_5mile_scaled,pop_ch_25mile_scaled,density_total_scaled,cluster 2 probability,cluster 3 probability,cluster 4 probability,cluster 5 probability
10,"Albany--Schenectady, NY",0.5389830508474577,0.0413935254237288,266019.0,6122.0,-0.7561253068914862,0.5589039004481459,2.32998397761379,NY,Northeast,65.22,9.56,1523.91,40189.74,2.22,1.59,-0.03,59,47328.0,684771.0,0.8700099152542373,2.637659101694915,37.07432452542373,1.818335231037541,1.7057594309673043,0.1202882630539095,0.1584569826794874,1.0267588032644512,0.108,0.233,0.03,0.089
11,"Albemarle, NC",0.325,0.209167,178665.5,1360.5,0.3326688610320226,-0.1114918318982924,-0.5131607220045483,NC,South,66.37,8.18,953.0,24700.5,2.19,-0.38,0.06,8,13461.0,143586.5,-0.0650188749999999,3.1662305,21.103792375,-0.0913662225063299,-0.2176784746837358,0.0178903796006214,0.2544156858557229,0.3365776118066457,0.25,0.125,0.05,0.25
12,"Albert Lea, MN",0.3,0.1256695,143739.5,1604.5,-0.2092022021130876,-0.3795319373082841,-0.3674656035110327,MN,Midwest,70.09,13.28,883.33,26320.33,2.51,-0.17,0.36,6,19060.0,40987.0,3.1945686666666666,1.43732,33.611583833333334,0.2243516869155891,-0.5823300258660847,0.3748578534113675,-0.0594567824990988,0.8771132890094385,0.133,0.4,0.067,0.1
13,"Albertville, AL",0.3866666666666666,0.1299682666666666,178475.0,677.0,-0.1813046331573771,-0.1129538269759023,-0.921286187128802,AL,South,68.73,9.01,961.93,24166.57,2.1,-0.44,0.25,15,11954.0,173868.0,-1.373889733333333,2.5363922000000003,4.826836266666666,-0.1763433415452354,-0.1100542080242658,-0.1254481004589922,0.1400726346188863,-0.3668459719753041,0.176,0.071,0.0,0.294
14,"Albion, MI",0.4222222222222222,0.1852701111111111,122749.0,2670.0,0.1775859832442711,-0.5406238411223031,0.2687563176153642,MI,Midwest,62.02,14.55,967.57,21273.29,1.82,-0.81,-0.29,9,9630.0,166751.0,0.1396215555555555,-0.0310381111111111,9.05440711111111,-0.3073896750863213,-0.1353489228110315,0.0403011836060904,-0.3260276574884451,-0.1841476213562526,0.108,0.108,0.062,0.154
15,"Albuquerque, NM",0.2107142857142857,0.1008831607142857,242986.0,2358.5,-0.3700573177779327,0.382136800067102,0.082756197079585,NM,West,73.14,8.89,1549.18,32562.43,1.77,0.62,0.6,56,113835.5,798400.5,-3.463656946428572,1.257015267857143,155.65686764285715,5.568577928104568,2.109612991999032,-0.3543049461106056,-0.0921899351601149,6.151412141300865,0.271,0.35,0.118,0.05
16,"Alderson, WV",0.2,0.231619,139107.0,571.0,0.4783748894728024,-0.4150841273189291,-0.98457996811369,WV,South,73.61,9.96,903.75,24715.75,2.32,-0.37,0.64,7,898.0,42237.0,-8.868582,-6.822907285714286,0.0849839999999999,-0.7997720264119504,-0.5778873683582223,-0.946214940196326,-1.5590473786224912,-0.5717694658388486,0.453,0.0,0.0,0.347
17,"Alexandria, LA",0.0758620689655172,0.0704569310344827,165747.0,581.0,-0.5675134502859974,-0.2106350518988358,-0.9786088567000212,LA,South,55.46,11.42,1120.21,24603.93,1.82,-0.39,-0.82,30,30966.0,140822.5,-5.2229226,-0.4216554666666666,82.58609086666667,0.8957103991101539,-0.2275020789651213,-0.5469675477710292,-0.3969417005059727,2.993591518849004,0.269,0.083,0.29,0.283
18,"Alexandria, MN",0.4857142857142857,0.3549804285714285,235213.0,2308.0,1.2789496186694795,0.3224827961917121,0.0526020844405583,MN,Midwest,74.26,7.84,1107.86,37076.57,2.81,1.19,0.69,7,2089.0,45425.0,1.9733735714285712,5.776687,4.571401571428572,-0.7326135998855162,-0.5665568146501698,0.241121016279415,0.7283271030099877,-0.3778848165572244,0.171,0.114,0.0,0.229
19,"Allentown, PA--NJ",0.6835820895522389,0.1254286865671642,296406.0,5838.0,-0.2107650013689977,0.7921093829853221,2.1604044134656,PA,Northeast,73.27,9.13,1633.56,37605.89,1.94,1.26,0.61,67,51371.0,799026.0,1.5284754179104478,3.754012447761194,25.57413335820896,2.0463129963157725,2.1118360978159663,0.1923988488473888,0.3611236795883139,0.5297674965865311,0.116,0.142,0.009,0.041
20,"Alliance, OH",0.4600000000000001,0.1883031,143430.5,1714.5,0.1972690745192137,-0.3819033623948009,-0.3017833779606774,OH,Midwest,60.87,13.07,959.1,25095.8,2.17,-0.33,-0.38,10,23067.0,408735.0,-3.1844578,-0.7404717,28.0599264,0.4502994745658177,0.7246927046950432,-0.3237289874297218,-0.454820716283782,0.6371933222973761,0.16,0.14,0.04,0.2
21,"Alpena, MI",0.2857142857142857,0.1606014285714286,149576.0,1689.0,0.0174944208122582,-0.3347396314265508,-0.3170097120655324,MI,Midwest,71.37,12.75,806.71,25316.71,2.73,-0.3,0.46,7,7297.0,32039.0,-0.5010717142857142,0.735264857142857,28.069084428571426,-0.438943503034408,-0.6141323453703675,-0.0298631102192087,-0.1869103323559413,0.6375890948997726,0.257,0.143,0.029,0.286
22,"Alton, IL--MO",0.4058823529411764,0.0999433235294117,145746.5,2583.0,-0.3761565491866689,-0.3641291860181892,0.2168076483164467,IL,Midwest,70.44,12.51,1076.86,29655.39,2.32,0.25,0.38,34,34846.5,764640.0,1.1366382352941176,-3.165380911764706,26.044332,1.1145250709286496,1.989623920963679,0.1494875518088216,-0.895047228779908,0.5500875620518872,0.239,0.2,0.004,0.109
23,"Altoona, PA",0.6526315789473685,0.1053453684210526,191430.0,2123.0,-0.3410990707161633,-0.0135304871835859,-0.0578634767123121,PA,Northeast,72.93,10.37,1007.47,31280.93,2.6,0.46,0.58,19,22908.0,176105.0,-3.059393736842105,-1.1464998421052632,11.62728105263158,0.4413337400421375,-0.1021036281481951,-0.3100328365764901,-0.5285324874738473,-0.0729585147126006,0.163,0.044,0.0,0.096
24,"Amarillo, TX",0.1523809523809524,0.1089061666666666,135138.5,2254.0,-0.3179906718898976,-0.4455404394737579,0.0203580828067474,TX,South,64.09,14.48,1189.62,28169.2,1.98,0.06,-0.12,44,81722.5,254991.0,-1.901890045454545,2.6446602272727278,110.0894728409091,3.757781495658401,0.1782671559839963,-0.183271041300404,0.1597279915410625,4.182175390777037,0.24,0.26,0.12,0.124
25,"Americus, GA",0.0857142857142857,0.3258825714285714,96498.0,1399.0,1.0901141830547063,-0.7420875302684318,-0.4901719430619239,GA,South,53.87,15.32,978.0,21123.0,1.83,-0.83,-0.94,7,9842.0,52660.0,-2.209335142857143,-5.733790999999999,23.672668857142856,-0.2954353623880811,-0.5408427129946618,-0.2169403010924538,-1.3613253930584155,0.4475939645777242,0.314,0.143,0.057,0.4
26,"Ames, IA",0.3833333333333333,0.1912841666666666,258180.0,3369.0,0.2166152078043194,0.4987433785931116,0.6861370054308044,IA,Midwest,55.59,8.39,1068.56,33675.78,2.62,0.76,-0.81,13,53204.0,139935.0,-0.9165540769230772,5.850743769230769,35.98369730769231,2.1496726905415944,-0.2306563657957037,-0.0753638637678449,0.7417716283089231,0.9796263479723958,0.112,0.2,0.0,0.15
27,"Amsterdam, NY",0.509090909090909,0.1052991818181818,164357.0,4019.0,-0.3413988064399954,-0.22130262753074,1.074259247319268,NY,Northeast,70.89,11.48,1207.75,30045.12,2.13,0.3,0.42,11,8564.0,171837.0,-1.0545874545454546,0.5393803636363637,10.458896181818185,-0.3674995681821895,-0.1172726379430407,-0.0904803242038885,-0.2224718894691159,-0.1234513382844105,0.329,0.118,0.024,0.012
28,"Anacortes, WA",0.6571428571428571,0.2139075714285714,581037.0,5072.0,0.3634335962626023,2.976514217290749,1.7030172791785791,WA,West,77.68,4.7,1809.33,42853.83,1.99,1.92,0.96,7,6120.0,142422.0,5.451506428571428,6.900967142857143,9.530598428571428,-0.5053124938166189,-0.2218172544180605,0.6220220608813967,0.9324328583749316,-0.1635685769167156,0.311,0.0,0.0,0.044
29,"Anderson, IN",0.5466666666666666,0.1420962333333333,120551.5,1214.5,-0.102598154622629,-0.5574885874900078,-0.600338948644111,IN,Midwest,68.86,14.98,1073.64,26580.39,2.05,-0.14,0.26,31,19476.0,390912.0,1.5594685483870967,4.045797193548387,34.231178096774194,0.2478092061725132,0.6613475168849369,0.1957930020493855,0.4140953044286457,0.9038896232564276,0.153,0.129,0.053,0.065
30,"Anderson, SC",0.3071428571428571,0.1177324285714285,189240.0,1027.0,-0.2607111614622737,-0.0303376746899675,-0.7122972876503986,SC,South,64.38,11.86,1255.28,26673.88,1.82,-0.13,-0.1,28,31552.5,320810.0,0.958746,5.065704321428571,29.173661857142857,0.9287821179663704,0.4121961755919966,0.1300060250721539,0.5992528170473904,0.6853244213452726,0.271,0.124,0.071,0.165
31,"Angola, IN",0.3999999999999999,0.22144,196952.0,1063.0,0.4123165577652176,0.0288481837799934,-0.6908012865611913,IN,Midwest,76.36,7.6,1119.43,31042.43,2.29,0.43,0.86,7,6032.0,93758.0,1.3155237142857144,0.434264,2.941477,-0.5102746613517375,-0.3947752423881562,0.169077851722781,-0.2415550823348128,-0.4483235015114437,0.086,0.114,0.0,0.4
